,Rangking,Title,Artist,Date,Source Site,agency
0,1,Stuck with U,Ariana Grande & Justin Bieber,5-19,Apple Music,무소속
1,2,Nonstop,오마이걸,5-19,Apple Music,WM엔터테인먼트
2,3,Blinding Lights,The Weeknd,5-19,Apple Music,무소속
3,4,Zombie,데이식스,5-19,Apple Music,JYP엔터테인먼트
4,5,Be Kind,Marshmello & Halsey,5-19,Apple Music,무소속
5,6,아로하,조정석,5-19,Apple Music,잼엔터테인먼트
6,7,Don't Start Now,Dua Lipa,5-19,Apple Music,무소속
7,8,Intentions (feat. Quavo),Justin Bieber,5-19,Apple Music,아일랜드레코드
8,9,Dance Monkey,Tones And I,5-19,Apple Music,무소속
9,10,ily (i love you baby) [feat. Emilee],Surf Mesa,5-19,Apple Music,무소속
10,11,WANNABE,ITZY,5-19,Apple Music,JYP엔터테인먼트
11,12,Happy,태연,5-19,Apple Music,SM엔터테인먼트
12,13,Break My Heart,Dua Lipa,5-19,Apple Music,무소속
13,14,난춘,새소년,5-19,Apple Music,매직스트로베리사운드
14,15,Say So (feat. Nicki Minaj),Doja Cat,5-19,Apple Music,RCA
15,16,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-19,Apple Music,버스커 버스커
16,17,Stay Tonight,청하,5-19,Apple Music,MNH엔터테인먼트
17,18,Dolphin,오마이걸,5-19,Apple Music,WM엔터테인먼트
18,19,아무노래,ZICO,5-19,Apple Music,KQ엔터테인먼트
19,20,Say So,Doja Cat,5-19,Apple Music,RCA
20,21,Memories,Maroon 5,5-19,Apple Music,무소속
21,22,Maniac,Conan Gray,5-19,Apple Music,무소속
22,23,If the World Was Ending (feat. Julia Michaels),JP Saxe & Julia Michaels,5-19,Apple Music,무소속
23,24,To Die For,Sam Smith,5-19,Apple Music,무소속
24,25,Square (2017),백예린,5-19,Apple Music,블루바이닐
25,26,Oh My God,(여자)아이들,5-19,Apple Music,무소속
26,27,ON,방탄소년단,5-19,Apple Music,빅히트 엔터테인먼트
27,28,METEOR,창모,5-19,Apple Music,일리네어 레코즈
28,29,Circles,Post Malone,5-19,Apple Music,무소속
29,30,Physical,Dua Lipa,5-19,Apple Music,무소속
30,31,좋은 사람 있으면 소개시켜줘,조이,5-19,Apple Music,SM엔터테인먼트
31,32,Psycho,레드벨벳,5-19,Apple Music,SM엔터테인먼트
32,33,bad guy,Billie Eilish,5-19,Apple Music,인터스코프 레코드
33,34,everything i wanted,Billie Eilish,5-19,Apple Music,인터스코프 레코드
34,35,시작,가호,5-19,Apple Music,인넥스트트렌드
35,36,death bed (feat. beabadoobee) [coffee for your head],Powfu,5-19,Apple Music,무소속
36,37,화려하지 않은 고백,규현,5-19,Apple Music,SM엔터테인먼트
37,38,Painkiller,Ruel,5-19,Apple Music,무소속
38,39,Know Your Worth,Khalid & Disclosure,5-19,Apple Music,무소속
39,40,Supalonely (feat. Gus Dapperton),BENEE,5-19,Apple Music,무소속
40,41,Birthday,Anne-Marie,5-19,Apple Music,무소속
41,42,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,5-19,Apple Music,YG 엔터테인먼트
42,43,Sunday Best,Surfaces,5-19,Apple Music,무소속
43,44,FIESTA,아이즈원,5-19,Apple Music,무소속
44,45,Love me or Leave me,데이식스,5-19,Apple Music,JYP엔터테인먼트
45,46,I'm Ready,Sam Smith & Demi Lovato,5-19,Apple Music,무소속
46,47,작은 것들을 위한 시 (feat. Halsey),방탄소년단,5-19,Apple Music,빅히트 엔터테인먼트
47,48,영웅 (英雄; Kick It),NCT 127,5-19,Apple Music,SM엔터테인먼트
48,49,2002,Anne-Marie,5-19,Apple Music,무소속
49,50,Kings & Queens,Ava Max,5-19,Apple Music,무소속
50,51,Toosie Slide,Drake,5-19,Apple Music,영머니엔터테인먼트
51,52,그대 고운 내사랑,어반자카파,5-19,Apple Music,메이크어스엔터테인먼트
52,53,Juice,Lizzo,5-19,Apple Music,무소속
53,54,All the Way Up (K),박재범,5-19,Apple Music,AOMG
54,55,Ridin',NCT DREAM,5-19,Apple Music,SM엔터테인먼트
55,56,Paris in the Rain,Lauv,5-19,Apple Music,무소속
56,57,Stupid Love,Lady Gaga,5-19,Apple Music,무소속
57,58,Adore You,Harry Styles,5-19,Apple Music,콜롬비아레코드
58,59,ROXANNE,Arizona Zervas,5-19,Apple Music,무소속
59,60,Closer (feat. Halsey),The Chainsmokers,5-19,Apple Music,무소속
60,61,ROCKSTAR (feat. Roddy Ricch),DaBaby,5-19,Apple Music,무소속
61,62,Lonely Night,권진아,5-19,Apple Music,안테나
62,63,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,5-19,Apple Music,무소속
63,64,Yummy,Justin Bieber,5-19,Apple Music,아일랜드레코드
64,65,Changes,Lauv,5-19,Apple Music,무소속
65,66,Señorita,Shawn Mendes & Camila Cabello,5-19,Apple Music,무소속
66,67,Falling,Harry Styles,5-19,Apple Music,콜롬비아레코드
